problem,category
"At a ring toss game at a carnival, Marco throws `8` rings. Some of the rings are worth `5` points, and some are worth `10` points. Marco scores a total of `70` points. How many `5`-point rings and `10`-point rings did Marco toss?",19
What is `471 ÷ 100`? Interactive: Students follow steps to create an exploratory area model. ,22
"Follow the directions below to create an equivalent fraction for `1/2` with a denominator of `4`.
 Interactive: Students follow steps to create an exploratory area model. ",20
"Solve the following system by substitution:
`y=-7x+6`
`10x+y=0`",14
"Solve the following system by substitution:
`-8x+y=0`
`y=4x+8`",14
"Estimate the quotient:
`11.8 ÷ 3.1`",24
Olivia went to a beauty store to buy `p` bottles of nail polish. Each bottle of nail polish costs `$9.50`. How much will she spend in total for the bottles of nail polish? Write an expression using `p` and `9.50`. ,10
Jeff has `m` marbles in his collection. Robert has `8` times as many marbles as Jeff did. How many marbles does Robert have? Write an expression using `m` and `8`. ,10
Paxton had `m` marbles. He was cleaning his room and found `17` marbles under his bed. How many total marbles does Paxton now have?  Write an expression with `m` and `17`.,8
"Estimate the product:
`1.9 × 7.8`",23
What is `341 ÷ 1000`? Interactive: Students follow steps to create an exploratory area model. ,22
"Violet and Eri are taking surf lessons. Violet pays `$20` for her lesson and `$15` per hour to rent the surfboard. Eri pays `$35` for her lesson and `$10` per hour to rent the surfboard. Write two equations in slope-intercept form to represent each person's total cost `(y)`, in terms of the number of hours `(x)`.
",16
Violet and Eri are taking surf lessons. Violet pays `$20` for her lesson and `$15` per hour to rent the surfboard. Eri pays `$35` for her lesson and `$10` per hour to rent the surfboard. After how many hours will Violet and Eri have spent the same amount?,18
"In her piggy bank, Brigitta has `6` nickels and `d` dimes. How many total coins does Brigitta have in her piggy bank?  Write an expression using `6` and `d`. ",8
"Write an expression to match the phrase: ""`n` increased by `8`""",1
Calista has `b` more pages to read in her novel. She has already read `172` pages. How many total number of pages are in Calista's novel?  Write an expression with `172` and `b`.,8
"Solve the system of equations:
`y = x - 5`
`y = -2x - 2`",15
"Identify the terms, coefficients, variables, and constants in the following expression:
`4m + 5 + 2n + 3`",0
"Solve the following system by substitution:
`y = -4x - 4`
`y = -8x`",13
"Solve the system of equations:
`y = -4x - 4`
`y = -8x`",15
"Estimate the quotient:
`27.1 ÷ 9.3`",24
"Write an expression to match the phrase:""`n` cubed minus `3`""",5
"Write an expression to match the phrase:""`11` increased by `n` squared""",5
"Solve the following system by elimination:
`-2x-2y = 4`
`2x + 4y = -8`",12
"Write an equation to match the phrase:""`b` times `3` is `27`""",6
"Solve the following system by substitution:
`y+12=9x`
`y=3x`",14
"Solve the following system by substitution:
`y = 5x`
`y = 7x - 16`",13
"Estimate the product:
`5.1 × 3.8`",23
"Estimate the product:
`1.1 × 9.3`",23
Trevor has `11` bugs in his collection. Jimmy has `b` times as many bugs in his collection as Trevor. How many bugs does Jimmy have in his collection? Write an expression using `11` and `b`. ,10
"Gomez and Amber are dog walkers. Gomez has earned `$100` so far and charges `$10` per walk. Amber has earned `$80` so far and charges `$12` per walk. Write two equations in slope-intercept form to represent the amount each dog walker earns `(y)` in terms of the number of walks `(x)`.
",16
A housepainter bought `16` gallons of paint. The paint comes in `5`-gallon and `1`-gallon cans. The housepainter bought a total of `4` cans.How many `5`-gallon and `1`-gallon cans of paint did the painter buy?,7
"Write an expression to match the phrase:
''`6` is added to the result of `9` times `d`''",2
"Write an expression to match the phrase:""the product of `n` cubed and `7`""",5
"Estimate the product:
`6.9 × 5.2`",23
"Identify the terms, coefficients, variables, and constants in the following expression:
`22 + 12f + 19g`",0
"Write an expression to match the phrase:""`s` times `4`""",1
"Estimate the quotient:
`16.3 ÷ 3.9`",24
"Write an algebraic expression to match the phrase below.
""Increase `d` by `7`, then divide by `5`""",3
